Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Spawn Point Wander,"Spawn Point (-519.1 9.6 88.4)",1,0,99,"(-519.1, 9.6, 88.4)"
Spawn Point Wander,"Spawn Point (-140.0 30.8 -191.8)",1,0,99,"(-140.0, 30.8, -191.8)"
Spawn Point Wander,"Spawn Point (-440.0 15.5 -325.4)",1,0,99,"(-440.0, 15.5, -325.4)"
Spawn Point Wander,"Spawn Point (464.8 -14.8 174.3)",1,0,99,"(464.8, -14.8, 174.3)"
Spawn Point Wander,"Spawn Point (-330.9 20.0 -142.3)",1,0,99,"(-330.9, 20.0, -142.3)"
Spawn Point Wander,"Spawn Point (-512.7 12.1 -150.2)",1,0,99,"(-512.7, 12.1, -150.2)"
Spawn Point Wander,"Spawn Point (-409.0 12.6 -513.0)",1,0,99,"(-409.0, 12.6, -513.0)"
Spawn Point Wander,"Spawn Point (-361.3 1.0 238.0)",1,0,99,"(-361.3, 1.0, 238.0)"
Spawn Point Wander,"Spawn Point (-162.9 0.7 436.0)",1,0,99,"(-162.9, 0.7, 436.0)"
Spawn Point Wander,"Spawn Point (-256.2 27.9 -204.1)",1,0,99,"(-256.2, 27.9, -204.1)"
Spawn Point Wander,"Spawn Point (104.0 17.6 -757.7)",1,0,99,"(104.0, 17.6, -757.7)"
Spawn Point Wander,"Spawn Point (-140.8 61.5 -206.8)",1,0,99,"(-140.8, 61.5, -206.8)"
Spawn Point Wander,"Spawn Point (-611.9 14.7 -331.8)",1,0,99,"(-611.9, 14.7, -331.8)"
Spawn Point Wander,"Spawn Point (-103.4 23.2 -214.6)",1,0,99,"(-103.4, 23.2, -214.6)"
Spawn Point Wander,"Spawn Point (-63.7 9.7 -581.0)",1,0,99,"(-63.7, 9.7, -581.0)"
Spawn Point Wander,"Spawn Point (-63.8 19.2 -233.0)",1,0,99,"(-63.8, 19.2, -233.0)"
Spawn Point Wander,"Spawn Point (443.5 -11.4 84.1)",1,0,99,"(443.5, -11.4, 84.1)"
Spawn Point Wander,"Spawn Point (318.8 -8.4 352.1)",1,0,99,"(318.8, -8.4, 352.1)"
Spawn Point Wander,"Spawn Point (-256.6 10.6 -637.5)",1,0,99,"(-256.6, 10.6, -637.5)"
Spawn Point Wander,"Spawn Point (414.3 -5.7 13.0)",1,0,99,"(414.3, -5.7, 13.0)"
Spawn Point Wander,"Spawn Point (-117.6 11.9 -729.4)",1,0,99,"(-117.6, 11.9, -729.4)"
Spawn Point Wander,"Spawn Point (-254.2 28.2 -207.9)",1,0,99,"(-254.2, 28.2, -207.9)"
Spawn Point Wander,"Spawn Point (279.8 -12.3 314.4)",1,0,99,"(279.8, -12.3, 314.4)"
Spawn Point Wander,"Spawn Point (263.9 17.3 -762.5)",1,0,99,"(263.9, 17.3, -762.5)"
Spawn Point Wander,"Spawn Point (366.8 1.1 0.6)",1,0,99,"(366.8, 1.1, 0.6)"
Spawn Point Wander,"Spawn Point (418.0 -6.1 11.9)",1,0,99,"(418.0, -6.1, 11.9)"
Spawn Point Wander,"Spawn Point (-335.8 19.3 -139.4)",1,0,99,"(-335.8, 19.3, -139.4)"
Spawn Point Wander,"Spawn Point (-171.6 1.0 432.3)",1,0,99,"(-171.6, 1.0, 432.3)"
Spawn Point Wander,"Spawn Point (-203.6 1.1 417.3)",1,0,99,"(-203.6, 1.1, 417.3)"
Spawn Point Wander,"Spawn Point (-260.3 11.3 -631.9)",1,0,99,"(-260.3, 11.3, -631.9)"
Spawn Point Wander,"Spawn Point (-525.1 -2.6 218.2)",1,0,99,"(-525.1, -2.6, 218.2)"
Spawn Point Wander,"Spawn Point (59.6 8.9 -659.8)",1,0,99,"(59.6, 8.9, -659.8)"
Spawn Point Wander,"Spawn Point (-526.8 -2.5 216.3)",1,0,99,"(-526.8, -2.5, 216.3)"
Spawn Point Wander,"Spawn Point (-130.6 13.0 -623.2)",1,0,99,"(-130.6, 13.0, -623.2)"
Spawn Point Wander,"Spawn Point (-90.1 -0.5 377.4)",1,0,99,"(-90.1, -0.5, 377.4)"
Spawn Point Wander,"Spawn Point (-352.3 -8.3 132.1)",1,0,99,"(-352.3, -8.3, 132.1)"
Spawn Point Wander,"Spawn Point (371.0 13.9 -700.0)",1,0,99,"(371.0, 13.9, -700.0)"
Spawn Point Wander,"Spawn Point (-416.2 12.9 -468.8)",1,0,99,"(-416.2, 12.9, -468.8)"
Spawn Point Wander,"Spawn Point (242.9 1.5 -164.3)",1,0,99,"(242.9, 1.5, -164.3)"
Spawn Point Wander,"Spawn Point (369.8 17.6 -597.5)",1,0,99,"(369.8, 17.6, -597.5)"
Spawn Point Wander,"Spawn Point (-6.4 11.0 -786.4)",1,0,99,"(-6.4, 11.0, -786.4)"
Spawn Point Wander,"Spawn Point (-359.3 0.9 236.4)",1,0,99,"(-359.3, 0.9, 236.4)"
Spawn Point Wander,"Spawn Point (-413.2 11.7 -522.4)",1,0,99,"(-413.2, 11.7, -522.4)"
Spawn Point Wander,"Spawn Point (213.5 -14.7 292.0)",1,0,99,"(213.5, -14.7, 292.0)"
Spawn Point Wander,"Spawn Point (-413.5 15.1 -428.0)",1,0,99,"(-413.5, 15.1, -428.0)"
Spawn Point Wander,"Spawn Point (-491.5 20.6 -45.2)",1,0,99,"(-491.5, 20.6, -45.2)"
Spawn Point Wander,"Spawn Point (-131.7 28.5 -197.8)",1,0,99,"(-131.7, 28.5, -197.8)"
Spawn Point Wander,"Spawn Point (-56.0 7.6 -759.4)",1,0,99,"(-56.0, 7.6, -759.4)"
Spawn Point Wander,"Spawn Point (59.8 8.8 -654.5)",1,0,99,"(59.8, 8.8, -654.5)"
Spawn Point Wander,"Spawn Point (368.6 16.8 -588.1)",1,0,99,"(368.6, 16.8, -588.1)"
Spawn Point Wander,"Spawn Point (418.5 -6.1 9.0)",1,0,99,"(418.5, -6.1, 9.0)"
Spawn Point Wander,"Spawn Point (-530.8 13.8 -404.1)",1,0,99,"(-530.8, 13.8, -404.1)"
Spawn Point Wander,"Spawn Point (367.1 13.2 -703.0)",1,0,99,"(367.1, 13.2, -703.0)"
Spawn Point Wander,"Spawn Point (-516.1 21.5 -20.1)",1,0,99,"(-516.1, 21.5, -20.1)"
Spawn Point Wander,"Spawn Point (-540.7 -1.1 297.0)",1,0,99,"(-540.7, -1.1, 297.0)"
Spawn Point Wander,"Spawn Point (-273.3 -1.6 333.3)",1,0,99,"(-273.3, -1.6, 333.3)"
Spawn Point Wander,"Spawn Point (-218.3 31.6 -202.2)",1,0,99,"(-218.3, 31.6, -202.2)"
Spawn Point Wander,"Spawn Point (72.9 11.9 -220.5)",1,0,99,"(72.9, 11.9, -220.5)"
Spawn Point Wander,"Spawn Point (-615.8 14.7 -334.0)",1,0,99,"(-615.8, 14.7, -334.0)"
Spawn Point Wander,"Spawn Point (-252.1 27.0 -205.0)",1,0,99,"(-252.1, 27.0, -205.0)"
Spawn Point Wander,"Spawn Point (102.6 7.2 -152.2)",1,0,99,"(102.6, 7.2, -152.2)"
Spawn Point Wander,"Spawn Point (-334.0 17.6 -136.2)",1,0,99,"(-334.0, 17.6, -136.2)"
Spawn Point Wander,"Spawn Point (355.3 -0.3 -91.5)",1,0,99,"(355.3, -0.3, -91.5)"
Spawn Point Wander,"Spawn Point (-540.7 5.0 133.9)",1,0,99,"(-540.7, 5.0, 133.9)"
Spawn Point Wander,"Spawn Point (135.1 8.5 -174.2)",1,0,99,"(135.1, 8.5, -174.2)"
Spawn Point Wander,"Spawn Point (-93.5 -0.9 382.5)",1,0,99,"(-93.5, -0.9, 382.5)"
Spawn Point Wander,"Spawn Point (-490.5 20.7 -47.0)",1,0,99,"(-490.5, 20.7, -47.0)"
Spawn Point Wander,"Spawn Point (226.4 -8.3 199.1)",1,0,99,"(226.4, -8.3, 199.1)"
Spawn Point Wander,"Spawn Point (-174.9 13.6 -649.9)",1,0,99,"(-174.9, 13.6, -649.9)"
Spawn Point Wander,"Spawn Point (90.3 -15.8 116.2)",1,0,99,"(90.3, -15.8, 116.2)"
Spawn Point Wander,"Spawn Point (-418.8 11.9 -515.2)",1,0,99,"(-418.8, 11.9, -515.2)"
Spawn Point Wander,"Spawn Point (368.9 -1.6 -67.5)",1,0,99,"(368.9, -1.6, -67.5)"
Spawn Point Wander,"Spawn Point (457.3 -11.0 97.5)",1,0,99,"(457.3, -11.0, 97.5)"
Spawn Point Wander,"Spawn Point (-519.4 7.3 154.6)",1,0,99,"(-519.4, 7.3, 154.6)"
Spawn Point Wander,"Spawn Point (-517.6 7.3 153.7)",1,0,99,"(-517.6, 7.3, 153.7)"
Spawn Point Wander,"Spawn Point (-509.6 12.0 -147.5)",1,0,99,"(-509.6, 12.0, -147.5)"
Spawn Point Wander,"Spawn Point (366.0 4.4 -8.9)",1,0,99,"(366.0, 4.4, -8.9)"
Spawn Point Wander,"Spawn Point (135.9 8.5 -665.0)",1,0,99,"(135.9, 8.5, -665.0)"
Spawn Point Wander,"Spawn Point (-538.6 -1.0 297.6)",1,0,99,"(-538.6, -1.0, 297.6)"
Spawn Point Wander,"Spawn Point (230.0 -7.8 200.7)",1,0,99,"(230.0, -7.8, 200.7)"
Spawn Point Wander,"Spawn Point (-252.3 27.5 -207.4)",1,0,99,"(-252.3, 27.5, -207.4)"
Spawn Point Wander,"Spawn Point (-153.0 0.4 434.8)",1,0,99,"(-153.0, 0.4, 434.8)"
Spawn Point Wander,"Spawn Point (280.5 8.0 -665.4)",1,0,99,"(280.5, 8.0, -665.4)"
Spawn Point Wander,"Spawn Point (-616.8 14.5 -324.5)",1,0,99,"(-616.8, 14.5, -324.5)"
Spawn Point Wander,"Spawn Point (-516.7 9.3 89.0)",1,0,99,"(-516.7, 9.3, 89.0)"
Spawn Point Wander,"Spawn Point (-231.2 1.1 400.9)",1,0,99,"(-231.2, 1.1, 400.9)"
Spawn Point Wander,"Spawn Point (518.0 -20.9 260.7)",1,0,99,"(518.0, -20.9, 260.7)"
Spawn Point Wander,"Spawn Point (-492.6 20.6 -48.0)",1,0,99,"(-492.6, 20.6, -48.0)"
Spawn Point Wander,"Spawn Point (-357.6 0.9 237.5)",1,0,99,"(-357.6, 0.9, 237.5)"
Spawn Point Wander,"Spawn Point (-91.3 -0.5 379.4)",1,0,99,"(-91.3, -0.5, 379.4)"
Spawn Point Wander,"Spawn Point (-272.0 -2.1 329.4)",1,0,99,"(-272.0, -2.1, 329.4)"
Spawn Point Wander,"Spawn Point (-486.6 0.2 330.6)",1,0,99,"(-486.6, 0.2, 330.6)"
Spawn Point Wander,"Spawn Point (-522.7 -2.6 216.6)",1,0,99,"(-522.7, -2.6, 216.6)"
Spawn Point Wander,"Spawn Point (-532.6 -0.5 254.2)",1,0,99,"(-532.6, -0.5, 254.2)"
Spawn Point Wander,"Spawn Point (367.7 -1.3 -73.8)",1,0,99,"(367.7, -1.3, -73.8)"
Spawn Point Wander,"Spawn Point (-494.0 20.6 -47.8)",1,0,99,"(-494.0, 20.6, -47.8)"
Spawn Point Wander,"Spawn Point (-520.1 10.3 85.9)",1,0,99,"(-520.1, 10.3, 85.9)"
Spawn Point Wander,"Spawn Point (269.7 17.0 -758.6)",1,0,99,"(269.7, 17.0, -758.6)"
Spawn Point Wander,"Spawn Point (-280.3 -0.9 332.9)",1,0,99,"(-280.3, -0.9, 332.9)"
Spawn Point Wander,"Spawn Point (-416.2 15.8 -434.3)",1,0,99,"(-416.2, 15.8, -434.3)"
Spawn Point Wander,"Spawn Point (-260.7 10.4 -639.8)",1,0,99,"(-260.7, 10.4, -639.8)"
Spawn Point Wander,"Spawn Point (-537.1 -1.3 294.6)",1,0,99,"(-537.1, -1.3, 294.6)"
Spawn Point Wander,"Spawn Point (372.9 15.3 -695.6)",1,0,99,"(372.9, 15.3, -695.6)"
Spawn Point Wander,"Spawn Point (228.4 -8.2 199.4)",1,0,99,"(228.4, -8.2, 199.4)"
Spawn Point Wander,"Spawn Point (125.9 0.3 4.9)",1,0,99,"(125.9, 0.3, 4.9)"
Spawn Point Wander,"Spawn Point (487.4 -18.4 334.6)",1,0,99,"(487.4, -18.4, 334.6)"
Spawn Point Wander,"Spawn Point (-621.0 14.9 -328.7)",1,0,99,"(-621.0, 14.9, -328.7)"
Spawn Point Wander,"Spawn Point (-171.7 14.8 -617.7)",1,0,99,"(-171.7, 14.8, -617.7)"
Spawn Point Wander,"Spawn Point (465.3 -15.2 177.8)",1,0,99,"(465.3, -15.2, 177.8)"
Spawn Point Wander,"Spawn Point (464.2 -15.0 176.2)",1,0,99,"(464.2, -15.0, 176.2)"
Spawn Point Wander,"Spawn Point (-524.2 -2.6 220.3)",1,0,99,"(-524.2, -2.6, 220.3)"
Spawn Point Wander,"Spawn Point (487.4 -18.8 332.6)",1,0,99,"(487.4, -18.8, 332.6)"
Spawn Point Wander,"Spawn Point (25.6 11.3 -226.6)",1,0,99,"(25.6, 11.3, -226.6)"
Spawn Point Wander,"Spawn Point (63.3 9.0 -661.4)",1,0,99,"(63.3, 9.0, -661.4)"
Spawn Point Wander,"Spawn Point (94.9 6.8 -203.7)",1,0,99,"(94.9, 6.8, -203.7)"
Spawn Point Wander,"Spawn Point (391.6 13.6 -400.8)",1,0,99,"(391.6, 13.6, -400.8)"
Spawn Point Wander,"Spawn Point (234.3 27.0 -318.0)",1,0,99,"(234.3, 27.0, -318.0)"
Spawn Point Wander,"Spawn Point (472.0 -18.4 229.5)",1,0,99,"(472.0, -18.4, 229.5)"
Spawn Point Wander,"Spawn Point (365.3 -13.4 360.1)",1,0,99,"(365.3, -13.4, 360.1)"
Spawn Point Wander,"Spawn Point (365.6 13.4 -700.8)",1,0,99,"(365.6, 13.4, -700.8)"
Spawn Point Wander,"Spawn Point (281.7 8.2 -668.6)",1,0,99,"(281.7, 8.2, -668.6)"
Spawn Point Wander,"Spawn Point (307.9 -0.6 -159.8)",1,0,99,"(307.9, -0.6, -159.8)"
Spawn Point Wander,"Spawn Point (-359.8 0.9 239.7)",1,0,99,"(-359.8, 0.9, 239.7)"
Spawn Point Wander,"Spawn Point (389.7 13.2 -403.9)",1,0,99,"(389.7, 13.2, -403.9)"
Spawn Point Wander,"Spawn Point (367.4 17.7 -594.9)",1,0,99,"(367.4, 17.7, -594.9)"
Spawn Point Wander,"Spawn Point (373.6 -1.9 -76.2)",1,0,99,"(373.6, -1.9, -76.2)"
Spawn Point Wander,"Spawn Point (487.4 -18.6 330.8)",1,0,99,"(487.4, -18.6, 330.8)"
Spawn Point Wander,"Spawn Point (-521.2 7.3 154.3)",1,0,99,"(-521.2, 7.3, 154.3)"
Spawn Point Wander,"Spawn Point (-61.0 9.2 -579.6)",1,0,99,"(-61.0, 9.2, -579.6)"
Spawn Point Wander,"Spawn Point (391.5 12.9 -406.4)",1,0,99,"(391.5, 12.9, -406.4)"
Spawn Point Wander,"Spawn Point (101.1 15.6 -762.0)",1,0,99,"(101.1, 15.6, -762.0)"
Spawn Point Wander,"Spawn Point (280.5 -12.5 312.4)",1,0,99,"(280.5, -12.5, 312.4)"
Spawn Point Wander,"Spawn Point (516.8 -20.9 264.4)",1,0,99,"(516.8, -20.9, 264.4)"
Spawn Point Wander,"Spawn Point (231.1 26.5 -317.4)",1,0,99,"(231.1, 26.5, -317.4)"
Spawn Point Wander,"Spawn Point (-507.3 12.1 -145.3)",1,0,99,"(-507.3, 12.1, -145.3)"
Spawn Point Wander,"Spawn Point (87.8 -15.9 114.7)",1,0,99,"(87.8, -15.9, 114.7)"
Spawn Point Wander,"Spawn Point (375.8 -1.1 -115.3)",1,0,99,"(375.8, -1.1, -115.3)"
Spawn Point Wander,"Spawn Point (-254.1 27.4 -204.9)",1,0,99,"(-254.1, 27.4, -204.9)"
Spawn Point Wander,"Spawn Point (-59.6 9.1 -577.1)",1,0,99,"(-59.6, 9.1, -577.1)"
Spawn Point Wander,"Spawn Point (-92.3 -0.7 380.4)",1,0,99,"(-92.3, -0.7, 380.4)"
Spawn Point Wander,"Spawn Point (-130.7 -1.3 415.5)",1,0,99,"(-130.7, -1.3, 415.5)"
Spawn Point Wander,"Spawn Point (64.7 9.1 -656.6)",1,0,99,"(64.7, 9.1, -656.6)"
Spawn Point Wander,"Spawn Point (-253.7 11.6 -638.9)",1,0,99,"(-253.7, 11.6, -638.9)"
Spawn Point Wander,"Spawn Point (9.7 15.7 -780.6)",1,0,99,"(9.7, 15.7, -780.6)"
Spawn Point Wander,"Spawn Point (-52.2 7.9 -763.9)",1,0,99,"(-52.2, 7.9, -763.9)"
Spawn Point Wander,"Spawn Point (2.8 14.8 -777.3)",1,0,99,"(2.8, 14.8, -777.3)"
Spawn Point Wander,"Spawn Point (-293.7 29.0 -199.7)",1,0,99,"(-293.7, 29.0, -199.7)"
Spawn Point Wander,"Spawn Point (-538.4 7.1 157.7)",1,0,99,"(-538.4, 7.1, 157.7)"
Spawn Point Wander,"Spawn Point (515.2 -20.9 264.4)",1,0,99,"(515.2, -20.9, 264.4)"
Spawn Point Wander,"Spawn Point (-130.0 9.6 -726.5)",1,0,99,"(-130.0, 9.6, -726.5)"
Spawn Point Wander,"Spawn Point (279.9 -12.1 317.7)",1,0,99,"(279.9, -12.1, 317.7)"
Spawn Point Wander,"Spawn Point (388.4 12.9 -410.3)",1,0,99,"(388.4, 12.9, -410.3)"
Spawn Point Wander,"Spawn Point (-522.3 10.8 86.6)",1,0,99,"(-522.3, 10.8, 86.6)"
Spawn Point Wander,"Spawn Point (278.8 -11.9 315.8)",1,0,99,"(278.8, -11.9, 315.8)"
Spawn Point Wander,"Spawn Point (-60.3 18.9 -230.1)",1,0,99,"(-60.3, 18.9, -230.1)"
Spawn Point Wander,"Spawn Point (231.6 -7.4 201.7)",1,0,99,"(231.6, -7.4, 201.7)"
Spawn Point Wander,"Spawn Point (-516.7 7.3 146.3)",1,0,99,"(-516.7, 7.3, 146.3)"
Spawn Point Wander,"Spawn Point (-413.1 16.0 -350.7)",1,0,99,"(-413.1, 16.0, -350.7)"
