Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Spawn Point Wander,"Spawn Point (459.0 -54.5 159.5)",1,0,99,"(459.0, -54.5, 159.5)"
Spawn Point Wander,"Spawn Point (452.7 -54.5 190.9)",1,0,99,"(452.7, -54.5, 190.9)"
Spawn Point Wander,"Spawn Point (409.8 -54.3 90.9)",1,0,99,"(409.8, -54.3, 90.9)"
Spawn Point Wander,"Spawn Point (345.3 -64.3 333.2)",1,0,99,"(345.3, -64.3, 333.2)"
Spawn Point Wander,"Spawn Point (-659.3 -26.8 -162.3)",1,0,99,"(-659.3, -26.8, -162.3)"
Spawn Point Wander,"Spawn Point (-318.8 -5.1 -173.1)",1,0,99,"(-318.8, -5.1, -173.1)"
Spawn Point Wander,"Spawn Point (-891.3 -46.1 2.0)",1,0,99,"(-891.3, -46.1, 2.0)"
Spawn Point Wander,"Spawn Point (420.6 -54.5 153.7)",1,0,99,"(420.6, -54.5, 153.7)"
Spawn Point Wander,"Spawn Point (338.4 -41.9 -272.4)",1,0,99,"(338.4, -41.9, -272.4)"
Spawn Point Wander,"Spawn Point (336.5 -41.7 -269.6)",1,0,99,"(336.5, -41.7, -269.6)"
Spawn Point Wander,"Spawn Point (-872.6 -44.0 5.3)",1,0,99,"(-872.6, -44.0, 5.3)"
Spawn Point Wander,"Spawn Point (-837.8 -55.4 279.8)",1,0,99,"(-837.8, -55.4, 279.8)"
Spawn Point Wander,"Spawn Point (-622.6 -29.7 -172.7)",1,0,99,"(-622.6, -29.7, -172.7)"
Spawn Point Wander,"Spawn Point (351.8 -64.3 334.9)",1,0,99,"(351.8, -64.3, 334.9)"
Spawn Point Wander,"Spawn Point (-848.0 -55.9 372.9)",1,0,99,"(-848.0, -55.9, 372.9)"
Spawn Point Wander,"Spawn Point (-876.3 -44.9 6.2)",1,0,99,"(-876.3, -44.9, 6.2)"
Spawn Point Wander,"Spawn Point (447.0 -54.3 103.1)",1,0,99,"(447.0, -54.3, 103.1)"
Spawn Point Wander,"Spawn Point (-810.5 -59.2 458.0)",1,0,99,"(-810.5, -59.2, 458.0)"
Spawn Point Wander,"Spawn Point (-780.2 -40.2 3.8)",1,0,99,"(-780.2, -40.2, 3.8)"
Spawn Point Wander,"Spawn Point (162.6 -35.0 -296.3)",1,0,99,"(162.6, -35.0, -296.3)"
Spawn Point Wander,"Spawn Point (-350.3 -5.1 -175.1)",1,0,99,"(-350.3, -5.1, -175.1)"
Spawn Point Wander,"Spawn Point (269.4 -56.4 188.1)",1,0,99,"(269.4, -56.4, 188.1)"
Spawn Point Wander,"Spawn Point (-295.4 -5.1 -127.3)",1,0,99,"(-295.4, -5.1, -127.3)"
Spawn Point Wander,"Spawn Point (434.2 -54.3 70.3)",1,0,99,"(434.2, -54.3, 70.3)"
Spawn Point Wander,"Spawn Point (434.0 -54.3 67.8)",1,0,99,"(434.0, -54.3, 67.8)"
Spawn Point Wander,"Spawn Point (-296.3 -62.0 490.2)",1,0,99,"(-296.3, -62.0, 490.2)"
Spawn Point Wander,"Spawn Point (128.4 -48.4 76.8)",1,0,99,"(128.4, -48.4, 76.8)"
Spawn Point Wander,"Spawn Point (-197.6 -5.1 -169.9)",1,0,99,"(-197.6, -5.1, -169.9)"
Spawn Point Wander,"Spawn Point (181.4 -37.2 -268.6)",1,0,99,"(181.4, -37.2, -268.6)"
Spawn Point Wander,"Spawn Point (342.2 -56.3 116.6)",1,0,99,"(342.2, -56.3, 116.6)"
Spawn Point Wander,"Spawn Point (-166.7 -55.7 368.7)",1,0,99,"(-166.7, -55.7, 368.7)"
Spawn Point Wander,"Spawn Point (-697.6 -59.6 497.7)",1,0,99,"(-697.6, -59.6, 497.7)"
Spawn Point Wander,"Spawn Point (-916.2 -58.3 252.6)",1,0,99,"(-916.2, -58.3, 252.6)"
Spawn Point Wander,"Spawn Point (-309.5 -62.0 505.6)",1,0,99,"(-309.5, -62.0, 505.6)"
Spawn Point Wander,"Spawn Point (-131.7 -5.1 -103.8)",1,0,99,"(-131.7, -5.1, -103.8)"
Spawn Point Wander,"Spawn Point (-195.0 -5.2 -113.7)",1,0,99,"(-195.0, -5.2, -113.7)"
Spawn Point Wander,"Spawn Point (-192.4 -55.7 367.8)",1,0,99,"(-192.4, -55.7, 367.8)"
Spawn Point Wander,"Spawn Point (347.0 -64.8 335.5)",1,0,99,"(347.0, -64.8, 335.5)"
Spawn Point Wander,"Spawn Point (447.8 -54.5 145.6)",1,0,99,"(447.8, -54.5, 145.6)"
Spawn Point Wander,"Spawn Point (-932.7 -55.0 160.7)",1,0,99,"(-932.7, -55.0, 160.7)"
Spawn Point Wander,"Spawn Point (-597.4 -45.4 155.6)",1,0,99,"(-597.4, -45.4, 155.6)"
Spawn Point Wander,"Spawn Point (448.9 -54.5 188.7)",1,0,99,"(448.9, -54.5, 188.7)"
Spawn Point Wander,"Spawn Point (-932.1 -54.5 162.9)",1,0,99,"(-932.1, -54.5, 162.9)"
Spawn Point Wander,"Spawn Point (341.5 -56.3 122.7)",1,0,99,"(341.5, -56.3, 122.7)"
Spawn Point Wander,"Spawn Point (-188.5 -65.0 447.6)",1,0,99,"(-188.5, -65.0, 447.6)"
Spawn Point Wander,"Spawn Point (328.9 -64.7 326.5)",1,0,99,"(328.9, -64.7, 326.5)"
Spawn Point Wander,"Spawn Point (335.4 -41.9 -273.2)",1,0,99,"(335.4, -41.9, -273.2)"
Spawn Point Wander,"Spawn Point (282.8 -56.2 172.3)",1,0,99,"(282.8, -56.2, 172.3)"
Spawn Point Wander,"Spawn Point (-596.5 -45.4 157.8)",1,0,99,"(-596.5, -45.4, 157.8)"
Spawn Point Wander,"Spawn Point (-581.0 -59.4 499.8)",1,0,99,"(-581.0, -59.4, 499.8)"
Spawn Point Wander,"Spawn Point (72.6 -31.2 -156.3)",1,0,99,"(72.6, -31.2, -156.3)"
Spawn Point Wander,"Spawn Point (442.0 -54.3 104.0)",1,0,99,"(442.0, -54.3, 104.0)"
Spawn Point Wander,"Spawn Point (235.6 -56.1 129.7)",1,0,99,"(235.6, -56.1, 129.7)"
Spawn Point Wander,"Spawn Point (-776.9 -40.1 2.4)",1,0,99,"(-776.9, -40.1, 2.4)"
Spawn Point Wander,"Spawn Point (13.7 -26.2 -163.8)",1,0,99,"(13.7, -26.2, -163.8)"
Spawn Point Wander,"Spawn Point (-816.5 -41.1 2.3)",1,0,99,"(-816.5, -41.1, 2.3)"
Spawn Point Wander,"Spawn Point (-694.0 -59.6 497.6)",1,0,99,"(-694.0, -59.6, 497.6)"
Spawn Point Wander,"Spawn Point (462.4 -54.5 119.6)",1,0,99,"(462.4, -54.5, 119.6)"
Spawn Point Wander,"Spawn Point (441.9 -54.3 106.0)",1,0,99,"(441.9, -54.3, 106.0)"
Spawn Point Wander,"Spawn Point (-644.1 -26.9 -230.2)",1,0,99,"(-644.1, -26.9, -230.2)"
Spawn Point Wander,"Spawn Point (-808.5 -59.2 457.4)",1,0,99,"(-808.5, -59.2, 457.4)"
Spawn Point Wander,"Spawn Point (122.5 -48.4 92.8)",1,0,99,"(122.5, -48.4, 92.8)"
Spawn Point Wander,"Spawn Point (-299.2 -5.1 -151.4)",1,0,99,"(-299.2, -5.1, -151.4)"
Spawn Point Wander,"Spawn Point (409.0 -54.3 168.6)",1,0,99,"(409.0, -54.3, 168.6)"
Spawn Point Wander,"Spawn Point (143.3 -33.5 -288.2)",1,0,99,"(143.3, -33.5, -288.2)"
Spawn Point Wander,"Spawn Point (-667.8 -54.5 324.8)",1,0,99,"(-667.8, -54.5, 324.8)"
Spawn Point Wander,"Spawn Point (212.3 -65.0 443.2)",1,0,99,"(212.3, -65.0, 443.2)"
Spawn Point Wander,"Spawn Point (-846.3 -56.0 372.8)",1,0,99,"(-846.3, -56.0, 372.8)"
Spawn Point Wander,"Spawn Point (-837.2 -55.5 276.7)",1,0,99,"(-837.2, -55.5, 276.7)"
Spawn Point Wander,"Spawn Point (459.9 -54.5 92.5)",1,0,99,"(459.9, -54.5, 92.5)"
Spawn Point Wander,"Spawn Point (-663.5 -59.6 496.9)",1,0,99,"(-663.5, -59.6, 496.9)"
Spawn Point Wander,"Spawn Point (-143.8 -11.8 -343.4)",1,0,99,"(-143.8, -11.8, -343.4)"
Spawn Point Wander,"Spawn Point (453.5 -54.5 188.7)",1,0,99,"(453.5, -54.5, 188.7)"
Spawn Point Wander,"Spawn Point (-783.5 -40.2 4.9)",1,0,99,"(-783.5, -40.2, 4.9)"
Spawn Point Wander,"Spawn Point (-837.8 -55.2 281.5)",1,0,99,"(-837.8, -55.2, 281.5)"
Spawn Point Wander,"Spawn Point (-96.8 -41.0 211.6)",1,0,99,"(-96.8, -41.0, 211.6)"
Spawn Point Wander,"Spawn Point (447.1 -54.3 104.9)",1,0,99,"(447.1, -54.3, 104.9)"
Spawn Point Wander,"Spawn Point (27.4 -20.6 -211.8)",1,0,99,"(27.4, -20.6, -211.8)"
Spawn Point Wander,"Spawn Point (-689.1 -59.6 497.4)",1,0,99,"(-689.1, -59.6, 497.4)"
Spawn Point Wander,"Spawn Point (-358.4 -62.0 555.9)",1,0,99,"(-358.4, -62.0, 555.9)"
Spawn Point Wander,"Spawn Point (-836.8 -55.6 275.0)",1,0,99,"(-836.8, -55.6, 275.0)"
Spawn Point Wander,"Spawn Point (109.2 -48.3 95.9)",1,0,99,"(109.2, -48.3, 95.9)"
Spawn Point Wander,"Spawn Point (459.3 -54.2 55.8)",1,0,99,"(459.3, -54.2, 55.8)"
Spawn Point Wander,"Spawn Point (-251.1 -41.0 195.3)",1,0,99,"(-251.1, -41.0, 195.3)"
Spawn Point Wander,"Spawn Point (-666.0 -54.6 326.3)",1,0,99,"(-666.0, -54.6, 326.3)"
Spawn Point Wander,"Spawn Point (391.5 -60.2 254.2)",1,0,99,"(391.5, -60.2, 254.2)"
Spawn Point Wander,"Spawn Point (-919.3 -58.3 259.0)",1,0,99,"(-919.3, -58.3, 259.0)"
Spawn Point Wander,"Spawn Point (-695.6 -59.6 497.7)",1,0,99,"(-695.6, -59.6, 497.7)"
Spawn Point Wander,"Spawn Point (-116.0 -10.0 -360.6)",1,0,99,"(-116.0, -10.0, -360.6)"
Spawn Point Wander,"Spawn Point (-153.3 -4.9 -269.4)",1,0,99,"(-153.3, -4.9, -269.4)"
Spawn Point Wander,"Spawn Point (454.7 -54.6 192.0)",1,0,99,"(454.7, -54.6, 192.0)"
Spawn Point Wander,"Spawn Point (408.5 -54.4 163.5)",1,0,99,"(408.5, -54.4, 163.5)"
Spawn Point Wander,"Spawn Point (-817.2 -41.2 4.0)",1,0,99,"(-817.2, -41.2, 4.0)"
Spawn Point Wander,"Spawn Point (-248.7 -41.0 158.9)",1,0,99,"(-248.7, -41.0, 158.9)"
Spawn Point Wander,"Spawn Point (-220.9 -29.8 189.5)",1,0,99,"(-220.9, -29.8, 189.5)"
Spawn Point Wander,"Spawn Point (-78.2 -21.8 -6.1)",1,0,99,"(-78.2, -21.8, -6.1)"
Spawn Point Wander,"Spawn Point (459.4 -54.6 181.9)",1,0,99,"(459.4, -54.6, 181.9)"
Spawn Point Wander,"Spawn Point (-320.1 -61.6 487.8)",1,0,99,"(-320.1, -61.6, 487.8)"
Spawn Point Wander,"Spawn Point (-325.7 -3.7 -82.5)",1,0,99,"(-325.7, -3.7, -82.5)"
Spawn Point Wander,"Spawn Point (235.6 -56.1 131.5)",1,0,99,"(235.6, -56.1, 131.5)"
Spawn Point Wander,"Spawn Point (-72.2 -22.0 10.5)",1,0,99,"(-72.2, -22.0, 10.5)"
Spawn Point Wander,"Spawn Point (-692.3 -59.6 497.6)",1,0,99,"(-692.3, -59.6, 497.6)"
Spawn Point Wander,"Spawn Point (318.4 -54.6 -144.0)",1,0,99,"(318.4, -54.6, -144.0)"
Spawn Point Wander,"Spawn Point (-308.8 -62.0 477.3)",1,0,99,"(-308.8, -62.0, 477.3)"
Spawn Point Wander,"Spawn Point (446.4 -53.9 -74.7)",1,0,99,"(446.4, -53.9, -74.7)"
Spawn Point Wander,"Spawn Point (-665.6 -53.9 420.3)",1,0,99,"(-665.6, -53.9, 420.3)"
Spawn Point Wander,"Spawn Point (110.3 -48.5 138.1)",1,0,99,"(110.3, -48.5, 138.1)"
Spawn Point Wander,"Spawn Point (450.9 -54.5 139.4)",1,0,99,"(450.9, -54.5, 139.4)"
Spawn Point Wander,"Spawn Point (445.6 -53.7 -71.3)",1,0,99,"(445.6, -53.7, -71.3)"
Spawn Point Wander,"Spawn Point (-876.5 -43.9 1.3)",1,0,99,"(-876.5, -43.9, 1.3)"
Spawn Point Wander,"Spawn Point (-598.2 -45.2 154.1)",1,0,99,"(-598.2, -45.2, 154.1)"
Spawn Point Wander,"Spawn Point (-156.3 -3.6 -82.5)",1,0,99,"(-156.3, -3.6, -82.5)"
Spawn Point Wander,"Spawn Point (433.8 -54.3 65.3)",1,0,99,"(433.8, -54.3, 65.3)"
Spawn Point Wander,"Spawn Point (-815.6 -59.2 458.5)",1,0,99,"(-815.6, -59.2, 458.5)"
Spawn Point Wander,"Spawn Point (-851.2 -56.2 372.7)",1,0,99,"(-851.2, -56.2, 372.7)"
Spawn Point Wander,"Spawn Point (431.4 -54.3 66.7)",1,0,99,"(431.4, -54.3, 66.7)"
Spawn Point Wander,"Spawn Point (233.8 -56.1 130.8)",1,0,99,"(233.8, -56.1, 130.8)"
Spawn Point Wander,"Spawn Point (122.4 -48.5 136.4)",1,0,99,"(122.4, -48.5, 136.4)"
Spawn Point Wander,"Spawn Point (418.5 -47.7 255.3)",1,0,99,"(418.5, -47.7, 255.3)"
Spawn Point Wander,"Spawn Point (-342.7 -3.7 -82.8)",1,0,99,"(-342.7, -3.7, -82.8)"
Spawn Point Wander,"Spawn Point (-451.6 -26.0 286.0)",1,0,99,"(-451.6, -26.0, 286.0)"
Spawn Point Wander,"Spawn Point (244.9 -64.3 442.6)",1,0,99,"(244.9, -64.3, 442.6)"
Spawn Point Wander,"Spawn Point (342.3 -56.3 114.6)",1,0,99,"(342.3, -56.3, 114.6)"
Spawn Point Wander,"Spawn Point (-623.7 -26.7 -224.4)",1,0,99,"(-623.7, -26.7, -224.4)"
Spawn Point Wander,"Spawn Point (-818.1 -41.2 2.4)",1,0,99,"(-818.1, -41.2, 2.4)"
Spawn Point Wander,"Spawn Point (-175.9 -55.7 394.3)",1,0,99,"(-175.9, -55.7, 394.3)"
Spawn Point Wander,"Spawn Point (125.1 -48.5 136.4)",1,0,99,"(125.1, -48.5, 136.4)"
Spawn Point Wander,"Spawn Point (-873.9 -44.6 8.4)",1,0,99,"(-873.9, -44.6, 8.4)"
Spawn Point Wander,"Spawn Point (-143.6 -21.7 -21.1)",1,0,99,"(-143.6, -21.7, -21.1)"
Spawn Point Wander,"Spawn Point (388.3 -59.2 261.2)",1,0,99,"(388.3, -59.2, 261.2)"
Spawn Point Wander,"Spawn Point (404.9 -54.3 83.6)",1,0,99,"(404.9, -54.3, 83.6)"
Spawn Point Wander,"Spawn Point (-814.8 -41.1 2.3)",1,0,99,"(-814.8, -41.1, 2.3)"
Spawn Point Wander,"Spawn Point (-683.6 -40.1 122.4)",1,0,99,"(-683.6, -40.1, 122.4)"
Spawn Point Wander,"Spawn Point (-655.2 -26.8 -164.2)",1,0,99,"(-655.2, -26.8, -164.2)"
Spawn Point Wander,"Spawn Point (-312.6 -3.7 -83.3)",1,0,99,"(-312.6, -3.7, -83.3)"
Spawn Point Wander,"Spawn Point (-849.5 -56.2 372.5)",1,0,99,"(-849.5, -56.2, 372.5)"
Spawn Point Wander,"Spawn Point (282.6 -56.2 174.1)",1,0,99,"(282.6, -56.2, 174.1)"
Spawn Point Wander,"Spawn Point (-806.6 -59.2 457.2)",1,0,99,"(-806.6, -59.2, 457.2)"
Spawn Point Wander,"Spawn Point (340.8 -42.1 -271.3)",1,0,99,"(340.8, -42.1, -271.3)"
Spawn Point Wander,"Spawn Point (235.6 -56.1 133.3)",1,0,99,"(235.6, -56.1, 133.3)"
Spawn Point Wander,"Spawn Point (-667.6 -54.4 326.2)",1,0,99,"(-667.6, -54.4, 326.2)"
Spawn Point Wander,"Spawn Point (-217.5 -41.0 166.4)",1,0,99,"(-217.5, -41.0, 166.4)"
Spawn Point Wander,"Spawn Point (-443.9 -26.0 259.9)",1,0,99,"(-443.9, -26.0, 259.9)"
Spawn Point Wander,"Spawn Point (447.1 -54.5 143.5)",1,0,99,"(447.1, -54.5, 143.5)"
Spawn Point Wander,"Spawn Point (442.7 -53.7 -72.4)",1,0,99,"(442.7, -53.7, -72.4)"
Spawn Point Wander,"Spawn Point (-918.2 -58.3 255.9)",1,0,99,"(-918.2, -58.3, 255.9)"
Spawn Point Wander,"Spawn Point (444.1 -53.8 -68.0)",1,0,99,"(444.1, -53.8, -68.0)"
Spawn Point Wander,"Spawn Point (-667.9 -54.7 323.6)",1,0,99,"(-667.9, -54.7, 323.6)"
Spawn Point Wander,"Spawn Point (-846.3 -56.1 371.2)",1,0,99,"(-846.3, -56.1, 371.2)"
Spawn Point Wander,"Spawn Point (342.2 -56.3 118.6)",1,0,99,"(342.2, -56.3, 118.6)"
Spawn Point Wander,"Spawn Point (347.3 -63.9 331.4)",1,0,99,"(347.3, -63.9, 331.4)"
Spawn Point Wander,"Spawn Point (-813.0 -59.2 458.4)",1,0,99,"(-813.0, -59.2, 458.4)"
Spawn Point Wander,"Spawn Point (448.1 -54.5 138.1)",1,0,99,"(448.1, -54.5, 138.1)"
Spawn Point Wander,"Spawn Point (-684.6 -39.3 123.9)",1,0,99,"(-684.6, -39.3, 123.9)"
Spawn Point Wander,"Spawn Point (123.4 -48.4 55.3)",1,0,99,"(123.4, -48.4, 55.3)"
Spawn Point Wander,"Spawn Point (-690.7 -59.6 497.5)",1,0,99,"(-690.7, -59.6, 497.5)"
Spawn Point Wander,"Spawn Point (-683.4 -39.9 119.1)",1,0,99,"(-683.4, -39.9, 119.1)"
Spawn Point Wander,"Spawn Point (235.8 -56.0 125.5)",1,0,99,"(235.8, -56.0, 125.5)"
Spawn Point Wander,"Spawn Point (-632.4 -26.8 -240.1)",1,0,99,"(-632.4, -26.8, -240.1)"
Spawn Point Wander,"Spawn Point (-666.2 -54.6 324.7)",1,0,99,"(-666.2, -54.6, 324.7)"
Spawn Point Wander,"Spawn Point (-897.2 -48.5 44.3)",1,0,99,"(-897.2, -48.5, 44.3)"
Spawn Point Wander,"Spawn Point (451.2 -54.5 188.8)",1,0,99,"(451.2, -54.5, 188.8)"
Spawn Point Wander,"Spawn Point (-683.0 -40.0 120.7)",1,0,99,"(-683.0, -40.0, 120.7)"
Spawn Point Wander,"Spawn Point (433.7 -54.3 62.7)",1,0,99,"(433.7, -54.3, 62.7)"
Spawn Point Wander,"Spawn Point (450.5 -54.5 143.5)",1,0,99,"(450.5, -54.5, 143.5)"
Spawn Point Wander,"Spawn Point (-156.6 -13.5 -343.3)",1,0,99,"(-156.6, -13.5, -343.3)"
Spawn Point Wander,"Spawn Point (412.4 -54.4 154.7)",1,0,99,"(412.4, -54.4, 154.7)"
Spawn Point Wander,"Spawn Point (404.8 -54.3 90.0)",1,0,99,"(404.8, -54.3, 90.0)"
Spawn Point Wander,"Spawn Point (-893.3 -47.9 35.5)",1,0,99,"(-893.3, -47.9, 35.5)"
Spawn Point Wander,"Spawn Point (-934.6 -54.6 164.2)",1,0,99,"(-934.6, -54.6, 164.2)"
Spawn Point Wander,"Spawn Point (-918.8 -58.3 257.4)",1,0,99,"(-918.8, -58.3, 257.4)"
Spawn Point Wander,"Spawn Point (388.8 -60.2 250.0)",1,0,99,"(388.8, -60.2, 250.0)"
Spawn Point Wander,"Spawn Point (-151.9 -4.9 -268.6)",1,0,99,"(-151.9, -4.9, -268.6)"
Spawn Point Wander,"Spawn Point (415.2 -54.4 154.7)",1,0,99,"(415.2, -54.4, 154.7)"
Spawn Point Wander,"Spawn Point (-681.4 -40.9 120.1)",1,0,99,"(-681.4, -40.9, 120.1)"
Spawn Point Wander,"Spawn Point (206.5 -64.8 443.4)",1,0,99,"(206.5, -64.8, 443.4)"
Spawn Point Wander,"Spawn Point (-872.3 -44.0 8.0)",1,0,99,"(-872.3, -44.0, 8.0)"
Spawn Point Wander,"Spawn Point (-122.1 -9.2 -356.7)",1,0,99,"(-122.1, -9.2, -356.7)"
Spawn Point Wander,"Spawn Point (148.2 -37.4 -256.4)",1,0,99,"(148.2, -37.4, -256.4)"
Spawn Point Wander,"Spawn Point (-443.5 -25.3 248.0)",1,0,99,"(-443.5, -25.3, 248.0)"
Spawn Point Wander,"Spawn Point (-934.3 -55.3 162.4)",1,0,99,"(-934.3, -55.3, 162.4)"
Spawn Point Wander,"Spawn Point (316.0 -54.6 -138.4)",1,0,99,"(316.0, -54.6, -138.4)"
Spawn Point Wander,"Spawn Point (-168.7 -3.6 -84.0)",1,0,99,"(-168.7, -3.6, -84.0)"
Spawn Point Wander,"Spawn Point (-340.0 -62.0 500.9)",1,0,99,"(-340.0, -62.0, 500.9)"
Spawn Point Wander,"Spawn Point (-284.3 -34.4 195.3)",1,0,99,"(-284.3, -34.4, 195.3)"
Spawn Point Wander,"Spawn Point (-604.5 -29.8 -179.4)",1,0,99,"(-604.5, -29.8, -179.4)"
Spawn Point Wander,"Spawn Point (-520.4 -25.7 284.6)",1,0,99,"(-520.4, -25.7, 284.6)"
Spawn Point Wander,"Spawn Point (-106.0 -40.1 245.0)",1,0,99,"(-106.0, -40.1, 245.0)"
Spawn Point Wander,"Spawn Point (-358.7 -62.0 523.1)",1,0,99,"(-358.7, -62.0, 523.1)"
